,,,,,weight (g),width relaxed,height relaxed,width stretched,height stretched,,,,,,,,,,,,,,
,,,std dev,std dev,0.13,9.11,5.77,13.53,10.26,,,,,,,,,,,,,,
,,,median,median,3.98,103.00,82.00,171.00,100.00,,,,,,,,,,,,,,
,,,average,average,3.98,103.00,82.47,171.28,100.98,,,,,,,,,,,,,,
,,,max,max,4.37,129.00,101.00,227.00,179.00,,,,,,,,,,,,,,
,,,min,min,3.26,77.00,65.00,121.00,67.00,,,,,,,,,,,#DIV/0!,,,
knit?,datID,datPos,patternName,"if reprocessed, new ID",weight (g),width relaxed,height relaxed,width stretched,height stretched,KnitPaint error or other knitting notes,double decrease (in SM set),toMachine error,dataset,photo relaxed,photo stretched,Relaxed Width Gauge (st/mm),Relaxed Height Gauge (row/mm),Stretched Width Gauge (st/mm),Stretched Height Gauge (row/mm),Relaxed Width Gauge (st/in),Relaxed Height Gauge (row/in),Stretched Width Gauge (st/in),Stretched Height Gauge (row/in)
,,,,,,,,,,"note ""ESC"" = ""essential stitch collection"", ""SM"" = ""stitch maps""",,,,,,,,,,,,,
,37,3,002a_82adc44e8f2d9f77613fbd236c9740a063c5a0fc_out.chart,,3.90,113,65,175,95,,,false ,SM,,,0.5309734513,0.9230769231,0.3428571429,0.6315789474,13.48672566,23.44615385,8.708571429,16.04210526
x,38,1,003O_6143a4a044fa80bc1958e97fbc0814593efd0b5d_out.chart,,3.87,101,87,173,80,,,false ,SM,,,0.5940594059,0.6896551724,0.3468208092,0.75,15.08910891,17.51724138,8.809248555,19.05
x,38,2,004FL_7b377e08c30e948417951e4d5ee722a1750cce05_out.chart,,3.85,110,81,162,119,,,false ,SM,,,0.5454545455,0.7407407407,0.3703703704,0.5042016807,13.85454545,18.81481481,9.407407407,12.80672269
/,38,3,005bat_34a0bae11b3751739fb449e2aba416b66a145be8_out.chart,,3.91,105,83,182,94,double decreases pass knitassist but are mechanically failing,x,false ,SM,,,0.5714285714,0.7228915663,0.3296703297,0.6382978723,14.51428571,18.36144578,8.373626374,16.21276596
,39,1,006hmm_e009fc6e0d715cf59bcd7fbb59ddd74fd0210f72_out.chart,,3.81,110,83,177,100,,,false ,SM,,,0.5454545455,0.7228915663,0.3389830508,0.6,13.85454545,18.36144578,8.610169492,15.24
,,,006hmm_e009fc6e0d715cf59bcd7fbb59ddd74fd0210f72_out.chart,,3.84,108,83,187,93,second measurement,,,,,,,,,,,,,
/,39,2,007Owl_af2ec3fb81ce6779c3ed82b48a9d76b7d05b23f2_out.chart,,3.90,92,80,171,84,"knit, but somehow lost its cables :(",,false ,SM,,,0.652173913,0.75,0.350877193,0.7142857143,16.56521739,19.05,8.912280702,18.14285714
,39,3,008Pid_e8843cb93439b1df55279dfae7cc2f7e88ca8987_out.chart,,4.15,83,95,227,87,,,false ,SM,,,0.7228915663,0.6315789474,0.2643171806,0.6896551724,18.36144578,16.04210526,6.713656388,17.51724138
,,,008Pid_e8843cb93439b1df55279dfae7cc2f7e88ca8987_out.chart,,4.16,83,94,182,121,second measurement,,,,,,,,,,,,,
,40,1,009stv_72059806309ddabda802dc431cbf0c3fb28101c6_out.chart,,4.08,99,79,164,99,,,false ,SM,,,0.6060606061,0.7594936709,0.3658536585,0.6060606061,15.39393939,19.29113924,9.292682927,15.39393939
,40,2,010heat_6d10dd69114c06680d304884fc652202c8fbe7a7_out.chart,,4.04,88,83,156,107,deliberate double YO,x,false ,SM,,,0.6818181818,0.7228915663,0.3846153846,0.5607476636,17.31818182,18.36144578,9.769230769,14.24299065
,40,3,011hmmm_77509b5688b18f9bb595efa5f3de88ad6442b711_out.chart,,3.93,104,83,169,95,,x,false ,SM,,,0.5769230769,0.7228915663,0.3550295858,0.6315789474,14.65384615,18.36144578,9.017751479,16.04210526
,41,1,012Lace_9b48b057c1b0f8f5fdfcaabedf7bc2cbf77d84ae_out.chart,,3.89,106,82,162,102,double decrease,x,false ,SM,,,0.5660377358,0.7317073171,0.3703703704,0.5882352941,14.37735849,18.58536585,9.407407407,14.94117647
,41,2,013Leaf_977b99e05aa73950ff7f2290ead96460b4967f6e_out.chart,,3.83,100,87,167,97,double decrease,x,false ,SM,,,0.6,0.6896551724,0.3592814371,0.618556701,15.24,17.51724138,9.125748503,15.71134021
,41,3,014Leaf_eaee905491961ef7c45926feec3ad7603db27ab5_out.chart,,3.87,103,85,168,99,double decrease,x,false ,SM,,,0.5825242718,0.7058823529,0.3571428571,0.6060606061,14.7961165,17.92941176,9.071428571,15.39393939
,42,1,015Leaf_f6cd6750191f5f193385f9e87fc017fedb41e1aa_out.chart,,4.05,104,84,179,97,,,false ,SM,,,0.5769230769,0.7142857143,0.3351955307,0.618556701,14.65384615,18.14285714,8.51396648,15.71134021
,42,2,016Moon_23664ccb0b50ad8c2c50b11699961606de18693f_out.chart,,3.83,109,85,174,108,,x,false ,SM,,,0.5504587156,0.7058823529,0.3448275862,0.5555555556,13.98165138,17.92941176,8.75862069,14.11111111
,42,3,017Rain_a10feadb15543908e16bd387c48b10f34dfa7cb2_out.chart,,3.77,107,83,173,92,,x,false ,SM,,,0.5607476636,0.7228915663,0.3468208092,0.652173913,14.24299065,18.36144578,8.809248555,16.56521739
,43,1,018seas_2530bcab9a93023d83575dc2658819a8b6cc35ff_out.chart,,3.88,109,83,174,104,,x,false ,SM,,,0.5504587156,0.7228915663,0.3448275862,0.5769230769,13.98165138,18.36144578,8.75862069,14.65384615
,43,2,019test_0c2b2b6c7fac13033b9e87a40d82332a266b1e67_out.chart,,3.86,110,81,180,91,,x,false ,SM,,,0.5454545455,0.7407407407,0.3333333333,0.6593406593,13.85454545,18.81481481,8.466666667,16.74725275
,43,3,020test_13bab4ebbb5c060e57d07369d8a1b5fb71de59e5_out.chart,,3.94,108,82,171,105,,x,false ,SM,,,0.5555555556,0.7317073171,0.350877193,0.5714285714,14.11111111,18.58536585,8.912280702,14.51428571
,44,1,021test_29b57bab76928ce641c7252c90c769b13b79e5a5_out.chart,,4.01,111,87,177,101,,,false ,SM,,,0.5405405405,0.6896551724,0.3389830508,0.5940594059,13.72972973,17.51724138,8.610169492,15.08910891
,44,2,022Test_48026a651a1aa68c4817df897cef6d86586cc448_out.chart,,3.98,111,87,184,111,,x,false ,SM,,,0.5405405405,0.6896551724,0.3260869565,0.5405405405,13.72972973,17.51724138,8.282608696,13.72972973
,44,3,023Test_68622b45b5c45d06a5b364c1ad7eebc0ef955d3f_out.chart,,3.92,112,83,190,102,,x,false ,SM,,,0.5357142857,0.7228915663,0.3157894737,0.5882352941,13.60714286,18.36144578,8.021052632,14.94117647
,45,1,024test_84501c8d6aefbfac2aaff2bcc68e40ba430294a1_out.chart,,4.07,104,77,165,110,,,false ,SM,,,0.5769230769,0.7792207792,0.3636363636,0.5454545455,14.65384615,19.79220779,9.236363636,13.85454545
,false ,false ,025Test_c3188bed6c34cae398b15fbe9afbf8435ec2f830_out.chart,,,,,,,,,Error: Operation Error: trying to xfer from empty needle b-60.,SM,,,0.5769230769,0.8,#DIV/0!,#DIV/0!,14.65384615,20.32,#DIV/0!,#DIV/0!
,45,2,026test_c619779dd9d7805e130d7e56f7c1d545bb93b317_out.chart,,3.93,104,75,169,108,,x,false ,SM,,,0.5769230769,0.8,0.3550295858,0.5555555556,14.65384615,20.32,9.017751479,14.11111111
,45,3,027Test_d640e4f882d4c0d7951e6cdf5f21a5c487b63e4c_out.chart,,3.76,104,82,172,100,,x,false ,SM,,,0.5769230769,0.7317073171,0.3488372093,0.6,14.65384615,18.58536585,8.860465116,15.24
,46,1,028Test_df6a58b5e8c03b29a288120750cfb88bb3fdbfc7_out.chart,,3.97,110,79,199,99,,,false ,SM,,,0.5454545455,0.7594936709,0.3015075377,0.6060606061,13.85454545,19.29113924,7.658291457,15.39393939
,46,2,029tjum_1cb51105fcf264d70f88621048c49f4e2ef576bd_out.chart,,3.96,114,79,167,94,double decrease,x,false ,SM,,,0.5263157895,0.7594936709,0.3592814371,0.6382978723,13.36842105,19.29113924,9.125748503,16.21276596
,46,3,030Wave_00a56ff77532c138e9912127cb723d04cdf36ed9_out.chart,,4.01,109,86,189,96,deliberate double YO,x,false ,SM,,,0.5504587156,0.6976744186,0.3174603175,0.625,13.98165138,17.72093023,8.063492063,15.875
,47,1,031Wave_fea69b8345482677e38ee2310dc35b93e8a7a963_out.chart,,4.01,98,72,154,108,,x,false ,SM,,,0.612244898,0.8333333333,0.3896103896,0.5555555556,15.55102041,21.16666667,9.896103896,14.11111111
,47,2,032Wild_e1f88c9a085133a65ee2b65436d831c2ef2b5d32_out.chart,,,,,,,double YO,,false ,SM,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,47,3,033aj001_aba8a8ab6c7f543d7716e9cda5f4392a560af295_out.chart,,4.08,98,73,176,97,,,false ,SM,,,0.612244898,0.8219178082,0.3409090909,0.618556701,15.55102041,20.87671233,8.659090909,15.71134021
,false ,false ,034cable_6602588d783972901b35f54f335d9a38c7d0e6f7_out.chart,,,,,,,,,Error: Operation Error: trying to xfer from empty needle b-60.,SM,,,0.7228915663,0.6382978723,0.3296703297,0.4958677686,18.36144578,16.21276596,8.373626374,12.59504132
,48,1,035curvy_f9ca0a1d8acc683c07dd4c79b57ca8e2e9ee7e2d_out.chart,,3.92,99,83,171,97,please check seems flat,,false ,SM,,,0.6060606061,0.7228915663,0.350877193,0.618556701,15.39393939,18.36144578,8.912280702,15.71134021
,48,2,036Ferns_22316b055381c9b92c75cb2a20dd627b3ac1db95_out.chart,,3.81,85,92,166,95,,x,false ,SM,,,0.7058823529,0.652173913,0.3614457831,0.6315789474,17.92941176,16.56521739,9.180722892,16.04210526
,48,3,037Folio_c7c3f1a18f6c8ce3186b9715cb93491f9d38bd6d_out.chart,,3.86,103,81,169,107,double YO,x,false ,SM,,,0.5825242718,0.7407407407,0.3550295858,0.5607476636,14.7961165,18.81481481,9.017751479,14.24299065
,false ,false ,038Lotus_f7062a3406ccbdcfd4a7b20ee406b534359736cf_out.chart,,,,,,,,x,Error: Operation Error: trying to xfer from empty needle f-60.,SM,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,49,1,039Lux 2_96f719e83df48dda6dc60239447dd48c2c2c41bb_out.chart,,3.94,104,80,177,91,,x,false ,SM,,,0.5769230769,0.75,0.3389830508,0.6593406593,14.65384615,19.05,8.610169492,16.74725275
,49,2,040raven_a612e34aaa30b4f742111567a61da3ef59dd4e60_out.chart,,4.04,93,89,184,108,double YO (deliberate?),x,false ,SM,,,0.6451612903,0.6741573034,0.3260869565,0.5555555556,16.38709677,17.12359551,8.282608696,14.11111111
,49,3,041test!_c673e7af4b13e5dfada770970a761bd631908243_out.chart,,3.88,104,71,161,114,,,false ,SM,,,0.5769230769,0.8450704225,0.3726708075,0.5263157895,14.65384615,21.46478873,9.465838509,13.36842105
x,50,1,042Totem_5096e84f9d630306dd1d35cfc3fccf08c1997f5b_out.chart,,3.91,101,83,196,179,,,false ,SM,,,0.5940594059,0.7228915663,0.306122449,0.3351955307,15.08910891,18.36144578,7.775510204,8.51396648
x,50,2,043weavy_62e2febbac053e4e5e714e6fb2923cf51c949890_out.chart,,4.13,93,86,195,86,oily; may influence weight,,false ,SM,,,0.6451612903,0.6976744186,0.3076923077,0.6976744186,16.38709677,17.72093023,7.815384615,17.72093023
,false ,false ,044Wedge_9646e07d0b329e559fca1bdd32b201253f22cf47_out.chart,,,,,,,,,Error: Operation Error: trying to xfer from empty needle f-60.,SM,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
x,50,3,045Woven_9b43c718e4f4b61e85762cc4fec7652e4d5d7d44_out.chart,,4.00,101,81,205,80,,,false ,SM,,,0.5940594059,0.7407407407,0.2926829268,0.75,15.08910891,18.81481481,7.434146341,19.05
,51,1,046Acadia_918838a9c324b7e9e51d9aa2096f30c05aaa9275_out.chart,,3.92,105,80,187,99,,x,false ,SM,,,0.5714285714,0.75,0.320855615,0.6060606061,14.51428571,19.05,8.14973262,15.39393939
,false ,false ,047Anchor_5ee2aedda16dc479896f856d2bb83b4c9cb5f0a2_out.chart,,,,,,,,x,This pattern required an offset of 4 in line 28.,SM,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,51,2,048Bamboo_1282a00de3d6b6dc70a97e71e7db4e7273d2133a_out.chart,,3.93,106,81,174,95,,x,false ,SM,,,0.5660377358,0.7407407407,0.3448275862,0.6315789474,14.37735849,18.81481481,8.75862069,16.04210526
,51,3,049Cancun_0a5d01143dcbc86e11e39f0a7008864b18094b0d_out.chart,,3.94,104,79,153,106,double decrease,x,false ,SM,,,0.5769230769,0.7594936709,0.3921568627,0.5660377358,14.65384615,19.29113924,9.960784314,14.37735849
,52,1,050Idella_41f09fa5143f4fde80b1408ddbd2023af62e307f_out.chart,,3.92,107,72,164,102,,x,false ,SM,,,0.5607476636,0.8333333333,0.3658536585,0.5882352941,14.24299065,21.16666667,9.292682927,14.94117647
,52,2,051lace 1_d3c37dfe2355eba35d4ef33fc84be1682349a768_out.chart,,3.97,106,79,179,107,,,false ,SM,,,0.5660377358,0.7594936709,0.3351955307,0.5607476636,14.37735849,19.29113924,8.51396648,14.24299065
,52,3,052Leaves_a7509276ba89a662faddc898cb10a4cc7afe7667_out.chart,,4.00,86,85,169,103,,x,false ,SM,,,0.6976744186,0.7058823529,0.3550295858,0.5825242718,17.72093023,17.92941176,9.017751479,14.7961165
,53,1,053Leaves_b62e4b681f869c312d5193b9b653b5028358c4c3_out.chart,,4.07,86,86,171,100,,x,false ,SM,,,0.6976744186,0.6976744186,0.350877193,0.6,17.72093023,17.72093023,8.912280702,15.24
,53,2,054Leaves_c1c31fd13af2f4f69b9e7a4e1019d89237b65a6b_out.chart,,3.88,87,89,178,95,,x,false ,SM,,,0.6896551724,0.6741573034,0.3370786517,0.6315789474,17.51724138,17.12359551,8.561797753,16.04210526
,53,3,055Lovely_a6ba256f3ce3adda8c04c1609c69fa43326b5876_out.chart,,3.86,94,82,186,99,,x,false ,SM,,,0.6382978723,0.7317073171,0.3225806452,0.6060606061,16.21276596,18.58536585,8.193548387,15.39393939
,54,1,056Medley_a9ce24bb78574be15f90a7e9b57d32e98a23d255_out.chart,,3.91,94,91,183,114,,,false ,SM,,,0.6382978723,0.6593406593,0.3278688525,0.5263157895,16.21276596,16.74725275,8.327868852,13.36842105
,54,2,057Owlets_cecd47ff445909e50de23b8b1e18ebc32878eb37_out.chart,,3.97,102,88,172,111,,x,false ,SM,,,0.5882352941,0.6818181818,0.3488372093,0.5405405405,14.94117647,17.31818182,8.860465116,13.72972973
,54,3,058Pointy_09fd59aa65a1caa563abd92d91756d87b37b8b9b_out.chart,,3.81,103,89,176,100,,,false ,SM,,,0.5825242718,0.6741573034,0.3409090909,0.6,14.7961165,17.12359551,8.659090909,15.24
,55,1,059Random_54cd9e7dabc7ea76a099903f5b2a23ea9a01acd8_out.chart,,3.93,94,84,184,102,,x,false ,SM,,,0.6382978723,0.7142857143,0.3260869565,0.5882352941,16.21276596,18.14285714,8.282608696,14.94117647
,55,2,060ribbit_fb7d868e0f0ab45e43e83068a7f6b8e388ed281c_out.chart,,4.18,119,83,202,119,,,false ,SM,,,0.5042016807,0.7228915663,0.297029703,0.5042016807,12.80672269,18.36144578,7.544554455,12.80672269
,55,3,061Ribbon_41c007964076764747fceadae108ab0d3380e0ff_out.chart,,3.82,112,82,184,99,,,false ,SM,,,0.5357142857,0.7317073171,0.3260869565,0.6060606061,13.60714286,18.58536585,8.282608696,15.39393939
,56,1,062Scarab_8ae36bbec6ac2ae4a4c09bf707e2f3cfcda9e454_out.chart,,4.05,96,83,178,110,,,false ,SM,,,0.625,0.7228915663,0.3370786517,0.5454545455,15.875,18.36144578,8.561797753,13.85454545
,56,2,063Spokes_bf3d3202373c3db9a59b00d182bace7a362de46f_out.chart,,4.05,105,84,186,109,,x,false ,SM,,,0.5714285714,0.7142857143,0.3225806452,0.5504587156,14.51428571,18.14285714,8.193548387,13.98165138
,56,3,064Subtle_de074f71e3eb0bba8e4389fcbb6e811bdb56d319_out.chart,,3.76,107,83,163,105,,,false ,SM,,,0.5607476636,0.7228915663,0.3680981595,0.5714285714,14.24299065,18.36144578,9.349693252,14.51428571
,57,1,065Summer_0abfe3d8339dc168074831a883d26b98f3214ea3_out.chart,,3.84,98,94,157,112,deliberate double YO,x,false ,SM,,,0.612244898,0.6382978723,0.3821656051,0.5357142857,15.55102041,16.21276596,9.707006369,13.60714286
,57,2,066Thorny_592d81daf437677a9a242c0ce3748be32e7e3230_out.chart,,4.05,104,84,166,107,,,false ,SM,,,0.5769230769,0.7142857143,0.3614457831,0.5607476636,14.65384615,18.14285714,9.180722892,14.24299065
,57,3,067Twirly_56d31358ff7f5f2ee795657dcc7369bbab40d270_out.chart,,3.98,92,87,174,102,,,false ,SM,,,0.652173913,0.6896551724,0.3448275862,0.5882352941,16.56521739,17.51724138,8.75862069,14.94117647
,58,1,068Wave 1_35ecf5815b61b9445443c933bfc2c669b47f0468_out.chart,,3.91,103,73,168,104,,,false ,SM,,,0.5825242718,0.8219178082,0.3571428571,0.5769230769,14.7961165,20.87671233,9.071428571,14.65384615
,58,2,069Beetles_f78814f997af9eccde9e42d90e3ae21519aa55d9_out.chart,,3.85,107,84,164,112,,,false ,SM,,,0.5607476636,0.7142857143,0.3658536585,0.5357142857,14.24299065,18.14285714,9.292682927,13.60714286
,58,3,070Beloved_3d97e68e4ed40fe21a57b648045d440b71b39b97_out.chart,,3.90,99,86,167,105,not actually a viable pattern -- quadruple YO,x,false ,SM,,,0.6060606061,0.6976744186,0.3592814371,0.5714285714,15.39393939,17.72093023,9.125748503,14.51428571
,59,1,071Brianne_f4cb244811a277c954978254096041141bea1958_out.chart,,3.85,94,84,159,110,,x,false ,SM,,,0.6382978723,0.7142857143,0.3773584906,0.5454545455,16.21276596,18.14285714,9.58490566,13.85454545
,59,2,072brioche_dedead2e29a5ecee8dbdc3fc55106abd140a260b_out.chart,,3.73,122,100,167,113,,,false ,SM,,,0.4918032787,0.6,0.3592814371,0.5309734513,12.49180328,15.24,9.125748503,13.48672566
,59,3,073Cable 1_2fc3da45184e0ab97bbd8ea03ca67d0ab1549537_out.chart,,3.75,86,72,124,89,,,false ,SM,,,0.6976744186,0.8333333333,0.4838709677,0.6741573034,17.72093023,21.16666667,12.29032258,17.12359551
x,60,1,074Cable 2_63f17791daf33eb862cceb952f4fafe4d833b9fe_out.chart,,4.01,95,78,156,85,,,false ,SM,,,0.6315789474,0.7692307692,0.3846153846,0.7058823529,16.04210526,19.53846154,9.769230769,17.92941176
/,60,2,075Cable 3_9186101b6d066c842719a7b737a468863b0a4ce4_out.chart,,3.90,89,71,121,91,"doesn't *seem* to have cables (""cable bug"")",,false ,SM,,,0.6741573034,0.8450704225,0.4958677686,0.6593406593,17.12359551,21.46478873,12.59504132,16.74725275
x,60,3,076Cascade_00394fb819deaa5ec947798de284ee381c0f64f6_out.chart,,3.93,101,93,164,67,"(unskewed relaxed: 93w, 93h)",,false ,SM,,,0.5940594059,0.6451612903,0.3658536585,0.8955223881,15.08910891,16.38709677,9.292682927,22.74626866
,61,1,077Cha-cha_d4dfd0281019c59e5f4ae638288b9c51959a89a4_out.chart,,3.98,100,91,191,102,,x,false ,SM,,,0.6,0.6593406593,0.3141361257,0.5882352941,15.24,16.74725275,7.979057592,14.94117647
,61,2,078circles_5ecc9b213646a78f2986d6cd8923096400538954_out.chart,,3.88,119,75,177,110,,x,false ,SM,,,0.5042016807,0.8,0.3389830508,0.5454545455,12.80672269,20.32,8.610169492,13.85454545
,61,3,079Corinna_37ab2196bf2f3c96b916621e6b9add7c189b1849_out.chart,,3.87,107,81,187,101,,x,false ,SM,,,0.5607476636,0.7407407407,0.320855615,0.5940594059,14.24299065,18.81481481,8.14973262,15.08910891
x,62,1,080Crystal_fc0c0c5ec55ca848da8a9d909de80d9ed25b14a8_out.chart,,4.05,124,78,200,85,,,false ,SM,,,0.4838709677,0.7692307692,0.3,0.7058823529,12.29032258,19.53846154,7.62,17.92941176
x,62,2,081daisies_347bbddb374c2f285c8d931a0b5b0c0def822205_out.chart,,3.82,112,80,184,99,,,false ,SM,,,0.5357142857,0.75,0.3260869565,0.6060606061,13.60714286,19.05,8.282608696,15.39393939
/,62,3,082diag ck_53989aaad07c719c4b48d3657423f39718056c20_out.chart,,4.12,97,86,194,105,ran out of yarn; needs to be reknit,,false ,SM,,,0.618556701,0.6976744186,0.3092783505,0.5714285714,15.71134021,17.72093023,7.855670103,14.51428571
,63,1,083Diamond_fa67fce91c7ca87bd9565417130a6fb51fd2e0d8_out.chart,,4.04,114,87,195,103,,,false ,SM,,,0.5263157895,0.6896551724,0.3076923077,0.5825242718,13.36842105,17.51724138,7.815384615,14.7961165
,false ,false ,084Doubles_10896cddadd3f03fb93f98aa0f15a6ef5d2401bc_out.chart,,,,,,,,,This pattern requires an increase.,SM,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,63,2,085Equinox_fd5ddf4283dc7d6f34725a5853decd97ed724afd_out.chart,,3.83,102,83,172,100,deliberate double YO,x,false ,SM,,,0.5882352941,0.7228915663,0.3488372093,0.6,14.94117647,18.36144578,8.860465116,15.24
,63,3,086Furrows_3a05dfff2b97a9f5fcd89fb5c095e2f9e2c59638_out.chart,,3.91,78,85,188,110,,,false ,SM,,,0.7692307692,0.7058823529,0.3191489362,0.5454545455,19.53846154,17.92941176,8.106382979,13.85454545
,64,1,087Garland_fc2e738188428301acf2e5c1b40a5d1691fe97b0_out.chart,,3.91,100,82,175,103,,,false ,SM,,,0.6,0.7317073171,0.3428571429,0.5825242718,15.24,18.58536585,8.708571429,14.7961165
,false ,false ,088Gathers_185158d99a4628798391c107869552a20edef980_out.chart,,,,,,,,,Error: Operation Error: trying to xfer from empty needle b-60.,SM,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,64,2,089Glacier_a487491b31ccd0f21c1dc9e6abb3abd48a8126f3_out.chart,,3.89,99,87,163,105,double decrease,x,false ,SM,,,0.6060606061,0.6896551724,0.3680981595,0.5714285714,15.39393939,17.51724138,9.349693252,14.51428571
,64,3,090Iceberg_abd45ddfeaee93f98654f52b4632afa8e87b6e20_out.chart,,3.88,99,91,168,112,deliberate double YO,x,false ,SM,,,0.6060606061,0.6593406593,0.3571428571,0.5357142857,15.39393939,16.74725275,9.071428571,13.60714286
,65,1,091Popcorn_b230f635461ea5a7f0caa35aabf849526cf79d58_out.chart,,,,,,,,x,false ,SM,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,65,2,092Ripples_43fa0d121df98d9b497eb984825004818db5b76c_out.chart,,3.95,103,79,188,111,,,false ,SM,,,0.5825242718,0.7594936709,0.3191489362,0.5405405405,14.7961165,19.29113924,8.106382979,13.72972973
,65,3,093saphill_c29ace1f7332942d1595bc6ba9795e0b46b45ca2_out.chart,,3.99,102,80,183,102,,x,false ,SM,,,0.5882352941,0.75,0.3278688525,0.5882352941,14.94117647,19.05,8.327868852,14.94117647
x,66,1,094shellac_456913693f9b30d9b32a03b08c5c0dcb2c64c39e_out.chart,,3.87,100,83,162,92,,,false ,SM,,,0.6,0.7228915663,0.3703703704,0.652173913,15.24,18.36144578,9.407407407,16.56521739
x,66,2,095teatest_019815c28ae460f518dcfc58cb28ddaefa982587_out.chart,,3.80,108,87,172,92,,,false ,SM,,,0.5555555556,0.6896551724,0.3488372093,0.652173913,14.11111111,17.51724138,8.860465116,16.56521739
x,66,3,096teatest_60a22bca2c8eb0fbfb5a40a128354f2ee8b80d1f_out.chart,,3.88,109,83,165,95,,,false ,SM,,,0.5504587156,0.7228915663,0.3636363636,0.6315789474,13.98165138,18.36144578,9.236363636,16.04210526
,67,1,097teatest_ffb7e58651bf5cd34193ff48773e644fd8aa0d18_out.chart,,3.96,110,82,178,91,,,false ,SM,,,0.5454545455,0.7317073171,0.3370786517,0.6593406593,13.85454545,18.58536585,8.561797753,16.74725275
,67,2,098Testing_df53f338ce6e296a0c40e1518dfc73a02cff2c88_out.chart,,3.98,109,86,181,95,,,false ,SM,,,0.5504587156,0.6976744186,0.3314917127,0.6315789474,13.98165138,17.72093023,8.419889503,16.04210526
,67,3,099The Bat_bc5eb6c3650167aaee35380d461a78d8c82f6b10_out.chart,,3.97,104,81,162,100,second repeat is inverted? ask Megan,x,false ,SM,,,0.5769230769,0.7407407407,0.3703703704,0.6,14.65384615,18.81481481,9.407407407,15.24
/,68,1,100Upsweep_9c9d0d1fac974a8212750654369e20ee1ec550ed_out.chart,,4.01,105,87,173,103,few dropped stitches,,false ,SM,,,0.5714285714,0.6896551724,0.3468208092,0.5825242718,14.51428571,17.51724138,8.809248555,14.7961165
x,68,2,101Veeeees_0b426f1c7a653e47cd70d87eb31de967d9061c76_out.chart,,3.84,101,81,157,90,,,false ,SM,,,0.5940594059,0.7407407407,0.3821656051,0.6666666667,15.08910891,18.81481481,9.707006369,16.93333333
x,68,3,102Zig Zag_8c42ba1e9069bca66da3f7538a89fb5730d611bb_out.chart,,3.89,95,74,153,74,,,false ,SM,,,0.6315789474,0.8108108108,0.3921568627,0.8108108108,16.04210526,20.59459459,9.960784314,20.59459459
,69,1,103Zip Zag_ac09687dd0962287f1e2ef1939029bd9132bb209_out.chart,,3.93,108,73,178,96,,,false ,SM,,,0.5555555556,0.8219178082,0.3370786517,0.625,14.11111111,20.87671233,8.561797753,15.875
,69,2,104BFF lace_463e0f67868d65250ae7b57504209ac734763204_out.chart,,3.93,104,80,170,101,has an eyelet right on the frame edge which may collide with frame eyelet but should be okay,x,false ,SM,,,0.5769230769,0.75,0.3529411765,0.5940594059,14.65384615,19.05,8.964705882,15.08910891
,69,3,105Big eyes_d31eb618d372ad7df1d317d2c0fcf2ab47ea4894_out.chart,,4.18,119,82,168,106,1 dropped stitch,,false ,SM,,,0.5042016807,0.7317073171,0.3571428571,0.5660377358,12.80672269,18.58536585,9.071428571,14.37735849
,70,1,106Boxed in_05a93e034ded2fb22ff9c4a029c85427ab73fa59_out.chart,,4.20,100,82,168,102,,,false ,SM,,,0.6,0.7317073171,0.3571428571,0.5882352941,15.24,18.58536585,9.071428571,14.94117647
,70,2,107Brokkoli_c63adb18edfa7d7eca3959da9e98489e64443cf3_out.chart,,4.03,102,78,173,107,,x,false ,SM,,,0.5882352941,0.7692307692,0.3468208092,0.5607476636,14.94117647,19.53846154,8.809248555,14.24299065
,70,3,108Burgundy_5fa21cf04b7282a1f73907b668abbae4f0f321ad_out.chart,,3.98,107,81,172,105,,,false ,SM,,,0.5607476636,0.7407407407,0.3488372093,0.5714285714,14.24299065,18.81481481,8.860465116,14.51428571
,false ,false ,109chevron4_3427c8f0c62d3c7b9a1ae536212d1257d1102df5_out.chart,,,,,,,,,This pattern requires an increase.,SM,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,71,1,110Chevrons_595cdd4541f6235648d7bf8c2c0f01c8a8f1381b_out.chart,,4.00,94,77,151,112,,x,false ,SM,,,0.6382978723,0.7792207792,0.3973509934,0.5357142857,16.21276596,19.79220779,10.09271523,13.60714286
