"datID","datPos","patternName","simpleName","Source","Second Measurement?","Mass (g)","Relaxed Width (mm)","Relaxed Height (mm)","Stretched Width (mm)","Stretched Height (mm)","Note"
20,1,"078CrackerChecks_out.chart","20_1_078CrackerChecks",ESC,,3.98,91,79,170,80,"k/p inversion? ask megan (update: megan says this one is supposed to look like this)"
20,2,"079DiagonalL_out.chart","20_2_079DiagonalL",ESC,,3.95,83,73,125,72,
20,3,"079DiagonalR_out.chart","20_3_079DiagonalR",ESC,,3.98,81,77,123,73,
21,1,"079StagHorn_out.chart","21_1_079StagHorn",ESC,,3.91,86,76,130,91,
21,2,"080WeatearCable_out.chart","21_2_080WeatearCable",ESC,,4.04,81,79,153,74,
21,3,"081OffCenterCable_out.chart","21_3_081OffCenterCable",ESC,,4.11,86,84,177,75,
22,1,"083Braid_out.chart","22_1_083Braid",ESC,,4.02,80,70,114,72,
22,2,"083XO_out.chart","22_2_083XO",ESC,,4.04,86,68,119,86,
22,3,"084NarrowRopeB_out.chart","22_3_084NarrowRopeB",ESC,,3.90,84,72,120,85,
23,1,"085InterlockingDiagonals_out.chart","23_1_085InterlockingDiagonals",ESC,,4.06,86,76,134,85,
23,2,"085NarrowRopeF_out.chart","23_2_085NarrowRopeF",ESC,,3.91,89,63,116,87,"a few dropped stitches"
23,3,"086Zigzagbranch_out.chart","23_3_086Zigzagbranch",ESC,,4.24,90,80,139,92,
24,1,"087OpenZigZag_out.chart","24_1_087OpenZigZag",ESC,,3.85,100,80,151,82,
24,2,"091CableNetwork_out.chart","24_2_091CableNetwork",ESC,,4.01,83,80,124,92,
24,3,"094GrandDiamondPanel_out.chart","24_3_094GrandDiamondPanel",ESC,,3.99,95,79,162,76,
25,1,"096DoubleCross_out.chart","25_1_096DoubleCross",ESC,,4.10,90,78,141,93,
25,2,"097DiagonalDiamond_out.chart","25_2_097DiagonalDiamond",ESC,,4.04,93,83,156,80,
25,3,"103OverAndUnderCablePanel_out.chart","25_3_103OverAndUnderCablePanel",ESC,,4.02,82,76,123,96,"reknit because dropped stitch; stitches dropped (cable strain) even with new transfer planning"
26,1,"104FramedDiamond_out.chart","26_1_104FramedDiamond",ESC,,4.14,88,78,151,101,
26,2,"122BabyShaleStitch_out.chart","26_2_122BabyShaleStitch",ESC,,3.94,102,71,151,101,"continuous pickup (double decrease bug)"
26,3,"123EyeLetRib_out.chart","26_3_123EyeLetRib",ESC,,4.11,95,90,172,113,
27,1,"124SpotStitch_out.chart","27_1_124SpotStitch",ESC,,4.04,109,83,182,94,
27,2,"125CloverPowdering_out.chart","27_2_125CloverPowdering",ESC,,4.01,105,82,179,83,
27,3,"126OpenDiamonds_out.chart","27_3_126OpenDiamonds",ESC,,3.94,107,86,192,77,
28,1,"127LaddersNarrow_out.chart","28_1_127LaddersNarrow",ESC,,3.90,102,85,193,80,
28,2,"127LaddersWide_out.chart","28_2_127LaddersWide",ESC,,4.06,92,88,169,111,"investigate -- maybe dropping stitches? maybe intentional.  pattern is called ""ladder"".  has now been reknit."
