"datID","datPos","patternName","simpleName","Source","Second Measurement?","Mass (g)","Relaxed Width (mm)","Relaxed Height (mm)","Stretched Width (mm)","Stretched Height (mm)","Note"
72,1,"113Fir Cone_f53cdacc5e25f1594b0bacb119416b34fd9c3c39_out.chart","72_1_113Fir Cone",SM,,,96,78,162,89,
72,2,"114Frozen 1_417b7a656e6ef0aad3c40c23289468dc08f44230_out.chart","72_2_114Frozen 1",SM,,4.18,101,71,145,100,
72,3,"115FÑhnchen_26cd11b87665636f39eab27fa0002d4cc2662ac8_out.chart","72_3_115FÑhnchen",SM,,3.86,99,73,151,104,
73,1,"117Heatwave_b0bd129670b36ea1cea0c31f9a14460c3e711c2c_out.chart","73_1_117Heatwave",SM,,3.87,93,82,153,114,
73,2,"118Hex mesh_5c519deaa6cc2f30080638820b2e6f568428a756_out.chart","73_2_118Hex mesh",SM,,4.01,129,82,173,113,
73,3,"119Hyacinth_05d5ed609c6e99b933fcfa165847879aa232c74f_out.chart","73_3_119Hyacinth",SM,,4.08,112,75,162,116,
74,1,"122Lace Rib_029c65a2d0d52c54176a1cda9f0e5171db064ec1_out.chart","74_1_122Lace Rib",SM,,4.10,82,89,173,113,
74,2,"123Lace rib_63862362314bbc67893c321066476b01c1180081_out.chart","74_2_123Lace rib",SM,,4.16,95,86,160,114,
74,3,"124lace rib_b2d7e4157c1a1a36a335f3f476b102b26ecd1f47_out.chart","74_3_124lace rib",SM,,4.12,99,81,174,111,
75,1,"125Palmbaum_e0380befa9998f98b0929feef463925eb2869a07_out.chart","75_1_125Palmbaum",SM,,4.09,98,87,161,114,
75,2,"126pawprint_de9cc8ccce79691e3bd0a8e9c2805596cb3fdcac_out.chart","75_2_126pawprint",SM,,4.00,104,79,157,102,
75,3,"127Pelicans_84e173c0ef6c46ad5826bd93bde4eab24632ad0d_out.chart","75_3_127Pelicans",SM,,4.00,120,75,168,103,
76,1,"128Pigtails_4274814fb726d2d5cf366b1856438b916d6d01bf_out.chart","76_1_128Pigtails",SM,,3.91,103,84,166,82,
76,2,"129Pointers_17b107d5c435a38302e10ede447f0ca6ef5ab04d_out.chart","76_2_129Pointers",SM,,3.81,104,81,158,93,
76,3,"133Sanpat 1_e7103f7ca8f54b3a503948315f42109ed9de0d7c_out.chart","76_3_133Sanpat 1",SM,,3.79,117,74,157,95,
77,1,"134Sea oats_202c1377f658c31247ccbd8db6b6794513b64b93_out.chart","77_1_134Sea oats",SM,,4.12,112,84,175,102,
77,2,"136Stairway_345a56dc7543ba3cbcd9d66b1c98b461c3b92494_out.chart","77_2_136Stairway",SM,,4.13,102,78,173,110,
77,3,"137try lace_c283a25fd9fcb132c287a476a269d73ba0ebf4c0_out.chart","77_3_137try lace",SM,,4.21,87,95,175,108,
78,2,"140Angelfish_6488392a0aecf3bac0a29988ae21e4fc465c2b64_out.chart","78_2_140Angelfish",SM,,4.00,109,81,172,100,
78,3,"141Barb Moff_d00b1d1769d19af5d190e3416f3c0493509e4ccf_out.chart","78_3_141Barb Moff",SM,,3.88,116,66,168,106,
79,1,"143Big Mossy_93078abe28db15727742d3bfa45a8ee17c3ae6bc_out.chart","79_1_143Big Mossy",SM,,4.22,101,101,195,123,
79,2,"144Challenge_b93a3c9468bbf1f710ab2f026679701217623dc2_out.chart","79_2_144Challenge",SM,,3.96,104,79,172,105,
80,1,"147Gull Lace_33de1b2b76b31f09cbc889d49cff2fa594c6faf5_out.chart","80_1_147Gull Lace",SM,,3.86,102,78,174,105,
80,2,"148Heartless_bfdf5e275d05069cbf85e134a9dd69565b5bb7a1_out.chart","80_2_148Heartless",SM,,3.99,100,83,171,104,
80,3,"149Hibernate_ca41ce165e39cf2481776281cedb00356855f1cf_out.chart","80_3_149Hibernate",SM,,3.90,101,88,180,115,
81,1,"150Honeycomb_6705c6fb22cdd7deff0b9a18ec37bd97ad94b30f_out.chart","81_1_150Honeycomb",SM,,4.00,120,74,177,100,
81,2,"151Horseshoe_61fe296eea094bd580b389079ef0ba31900b3182_out.chart","81_2_151Horseshoe",SM,,4.09,109,73,165,97,
81,3,"152Horseshoe_93e1701b946d7447a9070859ff00079e02e16c4c_out.chart","81_3_152Horseshoe",SM,,4.05,100,88,163,110,
82,1,"153horseshoe_dc9c470e19622b14f27adc18f0b4f63a6529051e_out.chart","82_1_153horseshoe",SM,,4.01,103,84,170,89,
82,2,"154Interplay_6d32a867b1dcc89cc298b91928c552b682ea6084_out.chart","82_2_154Interplay",SM,,4.03,113,79,179,94,
82,3,"155Josephine_535bf28c4dc7ad848db287e8ab5a0f7e2463f812_out.chart","82_3_155Josephine",SM,,4.12,110,91,189,100,
83,1,"156lace edge_b1606df01a50883b27bcf62b0b22c5411d586551_out.chart","83_1_156lace edge",SM,,3.98,99,84,156,94,
83,2,"157Lace Rose_a4f3cccb48329cda31848ecee716804c3ffd02bb_out.chart","83_2_157Lace Rose",SM,,4.02,102,80,165,100,"ladders when knitting (double-yo)"
83,3,"158Lacy wave_b027a09b34ec2e775c05bae38ab4c168c621b4c2_out.chart","83_3_158Lacy wave",SM,,3.89,97,77,155,100,
84,1,"159Leaf Lace_de01afef7ab0499cfae454dafd411781a0c47241_out.chart","84_1_159Leaf Lace",SM,,3.93,119,79,161,94,
84,2,"160Leaves #1_89ead50e3073f3947db8b24910fbd348844688af_out.chart","84_2_160Leaves #1",SM,,4.09,90,88,161,100,
84,3,"161Leaves #2_af599a04920cc3e42ffd660e9c9083838fa25cf3_out.chart","84_3_161Leaves #2",SM,,4.20,88,87,170,99,
85,2,"163Meander 2_e39cbc8a8ba11b148880ad8121528c8a39cf0dba_out.chart","85_2_163Meander 2",SM,,4.01,120,76,181,99,
85,3,"164Mini Twig_2fb2c196117a011743e42cf798d1be3f4931d2e6_out.chart","85_3_164Mini Twig",SM,,3.99,110,80,166,101,
86,1,"165Pineapple_192165e6b1dafeb1da259952ff429ffedbc24b02_out.chart","86_1_165Pineapple",SM,,3.83,105,82,157,92,
86,2,"166Reverso 7_de5899274d78dc1e2b684e7206321d8888199922_out.chart","86_2_166Reverso 7",SM,,3.93,107,79,166,97,
86,3,"167Shida 018_9930c11b964393e3112e43cd5fb7b44f3e939120_out.chart","86_3_167Shida 018",SM,,4.12,102,86,178,97,
87,1,"168Shida 021_ad6d7b78d4ec5e71b9d68bf210dd11b0a2327327_out.chart","87_1_168Shida 021",SM,,4.22,88,99,194,108,
87,2,"169Spirals 2_5312408358a4f6abb5d0a5812b11b0e4beef5355_out.chart","87_2_169Spirals 2",SM,,4.12,112,86,180,96,
87,3,"170Spirals 3_a3f2cbf16cf0e9136c5b0edab9450f47b9400f93_out.chart","87_3_170Spirals 3",SM,,4.04,119,80,183,96,
88,1,"171Swirl Rib_1e0b58aa68965752a17656a395308710aacc0de7_out.chart","88_1_171Swirl Rib",SM,,4.14,97,95,144,106,
88,2,"173Trellis 2_f9f51966a1defcc552b8ac39e1ac8683f5a11591_out.chart","88_2_173Trellis 2",SM,,4.01,104,81,171,97,"note a single continuous pickup"
88,3,"175Waterfall_57de74fd1a0b7e3e7ac8ff1ccb65647a8d2ac24f_out.chart","88_3_175Waterfall",SM,,3.97,101,85,157,98,
89,1,"176Waterfall_be1c2fbc8af19ce531570b8e8931139ebb0ce02c_out.chart","89_1_176Waterfall",SM,,3.96,104,89,171,92,
89,2,"177Windswept_c76d8b0582606010cf3d4cfe5b1d5a0eba43671a_out.chart","89_2_177Windswept",SM,,4.01,102,85,159,100,"dropped a few stitches when knitting (in measured version)"
89,3,"178Basic lace_dc9fe687457e88a1d220e93d596a385eefa913e7_out.chart","89_3_178Basic lace",SM,,4.32,118,91,185,115,
90,1,"179Basketry 2_397b02b05365b609b2aa5c6b5c2f947c4b5f9040_out.chart","90_1_179Basketry 2",SM,,4.06,111,83,169,101,
90,2,"180Bear Track_331e2c1f1f5e2aa0d2bfe220442c9578e6c72204_out.chart","90_2_180Bear Track",SM,,3.97,103,83,156,99,
90,3,"181Blue flame_30871b7da7f9ab9f539130ae7d2c3b13816c8920_out.chart","90_3_181Blue flame",SM,,4.05,101,87,157,99,
91,1,"182Bud Stitch_b82f002352765210d6d42f15641ee7d136a4a88d_out.chart","91_1_182Bud Stitch",SM,,4.09,100,81,167,90,
91,2,"183Bud Stitch_de4d2499369599fb9174bcec507fe5f0d0b827d7_out.chart","91_2_183Bud Stitch",SM,,4.07,98,82,154,98,
91,3,"184Crossroads_017e6c43933da80d3fd55568f28617ae39bb140f_out.chart","91_3_184Crossroads",SM,,4.02,100,86,172,105,
92,1,"186Experiment_7d007dde47ca3bfe79838ab6268979dcae3608c2_out.chart","92_1_186Experiment",SM,,4.04,103,71,171,103,
92,2,"187Eyecatcher_cf90279bcbab6f8658997adc452fa24a58b2213b_out.chart","92_2_187Eyecatcher",SM,,4.21,99,90,206,98,
92,3,"188faux cable_f349bd6c1e09402f7f07baece9dd4e54f42155f4_out.chart","92_3_188faux cable",SM,,4.06,77,94,201,106,
93,1,"190Green lace_347d1bc92ffffc44736657a469bff6939c151b79_out.chart","93_1_190Green lace",SM,,3.99,122,74,182,102,
93,2,"191Hagakiri 2_f9a94b43d1429c4bcecb980be18acf3b23395f3f_out.chart","93_2_191Hagakiri 2",SM,,4.05,110,80,164,98,
93,3,"192Horseshoes_de1ef9c057641de0ab57a1e8be82a3835289cdc4_out.chart","93_3_192Horseshoes",SM,,4.05,99,85,171,102,
94,1,"193lace block_d55c4c93b813fbd84a9126923055cb8d14ade5c8_out.chart","94_1_193lace block",SM,,4.17,111,80,176,99,
94,2,"194Lois Right_1d544438436b7dc7f701403b47264846ffe30312_out.chart","94_2_194Lois Right",SM,,3.84,104,77,158,91,
94,3,"195Make a Lap_a3be163c886b5ed73261ecaca857aa820a6758b5_out.chart","94_3_195Make a Lap",SM,,4.04,98,81,169,102,
95,1,"196Maple Leaf_d097ab725a5d47c8b94be475a6466dae809b0581_out.chart","95_1_196Maple Leaf",SM,,3.83,114,81,185,96,
95,2,"197Maple Leaf_db143c6dc981708b4d11b6b11f37d47b16ac22c6_out.chart","95_2_197Maple Leaf",SM,,3.80,116,82,179,99,
95,3,"198Mock cable_50a629448e2ebffe6f53514a44f8fd925b014033_out.chart","95_3_198Mock cable",SM,,3.26,83,88,152,110,
96,1,"199Mock cable_8d5c9ef371ab521d21e236fed5a154a075d5f9e6_out.chart","96_1_199Mock cable",SM,,4.09,96,86,168,100,
96,2,"200Mock Cable_ba459c2e8f78b2ba22cef0df1cefee96a86664ff_out.chart","96_2_200Mock Cable",SM,,4.00,105,74,157,94,
96,3,"201Pfauenauge_2207e9891885c1fd6e8d42d00268b63c793d03a0_out.chart","96_3_201Pfauenauge",SM,,3.96,101,81,169,99,
97,1,"202Ribbon Rib_5a3b71ad8d9cb57c484d3d0cf5b1faa2f6700ceb_out.chart","97_1_202Ribbon Rib",SM,,3.57,101,86,159,94,
97,2,"203Rustic rib_ca2dc85a95b019554e2b434d42b62cf181d03d12_out.chart","97_2_203Rustic rib",SM,,4.07,92,91,152,121,
97,3,"204Seaweeds 2_9b0d838121772e965c9a6acdcf929ea0b0e244b7_out.chart","97_3_204Seaweeds 2",SM,,3.90,100,85,170,105,
98,1,"205Seeded Rib_72f5463d67160bdd1d7eff0d9df9cd0d24df3f87_out.chart","98_1_205Seeded Rib",SM,,3.97,99,82,169,102,
98,2,"206Shawl test_1afa939d78c1feb6425607d4745fcf44f0adfef3_out.chart","98_2_206Shawl test",SM,,3.83,99,79,159,89,"verified: this is (and should be) stockinette + one line of garter"
98,3,"208Split Leaf_474e5dda0b4c17146bdf2d1e4bc73f81b34cf181_out.chart","98_3_208Split Leaf",SM,,3.92,107,79,154,102,
99,1,"209Split Leaf_965ee6d1699db54e303f1df2ba3225d7649458d1_out.chart","99_1_209Split Leaf",SM,,3.87,101,83,170,99,
99,2,"210Suncatcher_84d686e39428c5d1dd8f9d02f0b107f44539b09f_out.chart","99_2_210Suncatcher",SM,,3.90,110,81,163,102,
99,3,"211Switchback_e142f6b01da572790a9003fb44f4df50f3b82d74_out.chart","99_3_211Switchback",SM,,3.99,107,75,170,97,
100,1,"212Three plus_bb2399467d7b26b800d5e41570bec392b9003251_out.chart","100_1_212Three plus",SM,,4.21,109,86,187,98,
100,2,"213Trapezoids_249b43673706477a62b26227158a6a5655ddf715_out.chart","100_2_213Trapezoids",SM,,3.98,101,82,157,91,
100,3,"214Vaduz Cowl_0676e4457e52319e0f96c79212aed2edb8267575_out.chart","100_3_214Vaduz Cowl",SM,,3.87,98,83,172,89,
101,2,"216Zopfmuster_b07fee834032b05a2caa37a96ec7075cd7fe323b_out.chart","101_2_216Zopfmuster",SM,,3.93,89,82,147,94,
101,3,"217Autumn Lace_ddad85f02738d8c741bd08c6d7a11df995eb27a2_out.chart","101_3_217Autumn Lace",SM,,3.85,114,80,164,102,
102,1,"218Bead Stitch_d7d5b9758f75d63a5310c3326b0b028a69499def_out.chart","102_1_218Bead Stitch",SM,,3.86,117,79,169,111,
102,3,"220bird stitch_0003fcdd5852424f2903141f410736463be7f607_out.chart","102_3_220bird stitch",SM,,3.89,93,82,159,97,
103,1,"223Cowboy Cowl_71be1c58c3c7538a113bc44b6394094bd2c80fb7_out.chart","103_1_223Cowboy Cowl",SM,,3.81,99,85,170,100,
103,2,"224Dance steps_269d87802f3684050a84d3e5c02c7748a59e13a3_out.chart","103_2_224Dance steps",SM,,3.89,109,79,164,95,
103,3,"225Dog Sweater_017fd832a7992c920362a581b990c56b21c6067e_out.chart","103_3_225Dog Sweater",SM,,4.31,129,79,187,107,
104,1,"227Eyelet Leaf_5e0a6e38507df7eedb30b3fa729eb89bc070a03b_out.chart","104_1_227Eyelet Leaf",SM,,3.89,103,79,172,95,
104,2,"228Floral mesh_df21a2f43e613445f79066d30e9b8a81dd12ece8_out.chart","104_2_228Floral mesh",SM,,3.87,107,79,166,95,
